title,genres
venus and adonis,"{'romance', 'classics', 'fantasy', 'mythology', 'literature', 'fiction', 'read-for-school', '20th-century', 'amazon', 'school', 'drama', 'poetry', 'plays', 'college'}"
a golden book of venice,"{'historical-fiction', 'history'}"
when day is done,"{'historical-fiction', 'historical'}"
australian explorations,"{'history', 'travel'}"
clarissa volume  of ,"{'fiction', 'literary-fiction'}"
the little house in the fairy wood,"{'adventure', 'picture-books', 'classics', 'family', 'fantasy', 'fiction', 'historical-fiction', 'childrens', 'young-adult'}"
a childs antislavery book,"{'history', 'short-stories', 'historical-fiction', 'childrens', 'non-fiction', 'american'}"
the new machiavelli,"{'romance', 'history', 'classics', 'science-fiction', 'novels', 'amazon', 'fiction', 'politics', '20th-century', 'historical-fiction', 'philosophy'}"
arthurian chronicles roman,"{'education', 'history', 'drama', 'biography', 'classics', 'mythology', 'literature', 'fiction', '20th-century', 'war', 'magic', 'poetry', 'historical'}"
the lost naval papers,"{'non-fiction', 'crime', 'mystery'}"
the ruling passion,{'historical-fiction'}
kauppalopo,"{'feminism', 'classics', 'novella', 'fiction', 'short-stories', '20th-century'}"
rautatie,"{'adventure', 'middle-grade', 'history', 'classics', 'family', 'fantasy', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'childrens', 'young-adult', 'historical'}"
short stories old and new,"{'literary-fiction', 'classics', 'sports', 'amazon', 'short-stories', 'fiction'}"
the golden legend,"{'contemporary', 'literary-fiction', 'feminism', 'religion', 'family', 'novels', 'literature', 'fiction', 'adult-fiction', 'politics', 'realistic-fiction', 'historical-fiction', '20th-century', 'adult', 'drama', 'war'}"
practice book,{'self-help'}
agnes,"{'contemporary', 'literary-fiction', 'romance', '21st-century', 'drama', 'roman', 'classics', 'novella', 'novels', 'literature', 'fiction', 'love', '20th-century', 'school', 'adult', 'read-for-school'}"
persuasion,"{'romance', 'literary-fiction', 'classics', 'historical-romance', 'chick-lit', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult-fiction', 'love', 'adult', 'school', 'historical'}"
dark lady of the sonnets,"{'history', 'classics', 'novels', 'literature', 'fiction', 'comedy', '20th-century', 'drama', 'plays'}"
romance de lobos comedia barbara,"{'classics', 'fiction', '20th-century', 'school', 'drama'}"
mary erzaehlung,"{'classics', 'novella', 'fiction', '20th-century', 'drama', 'plays'}"
sartor resartus,"{'contemporary', 'literary-fiction', 'history', 'classics', 'religion', 'novels', 'philosophy', 'fiction', 'literature', '20th-century', 'politics', 'essays', 'school', 'non-fiction', 'read-for-school', 'poetry', 'comedy', 'humor'}"
inaugural presidential address,"{'history', 'picture-books', 'biography', 'classics', 'reference', 'politics', 'essays', 'childrens', 'non-fiction', 'american'}"
het portret van dorian gray,"{'literary-fiction', 'historical-fiction', 'historical', 'horror', 'mystery', 'fantasy', 'novels', 'literature', 'fiction', 'philosophy', '20th-century', 'adult', 'school', 'read-for-school', 'classics', 'paranormal', 'adult-fiction', 'drama', 'lgbt'}"
mercy philbricks choice,{'fiction'}
step by step,"{'adventure', 'biography', 'travel', 'fiction', 'memoir', 'non-fiction'}"
the compleat cook,"{'20th-century', 'history', 'non-fiction'}"
alcestis,"{'romance', 'literary-fiction', 'history', 'classics', 'fantasy', 'mythology', 'literature', 'fiction', 'historical-fiction', 'adult-fiction', 'novels', 'speculative-fiction', 'american', 'historical', 'lgbt'}"
hyacinth,"{'contemporary', 'literary-fiction', 'drama', 'mystery', 'suspense', 'family', 'chick-lit', 'mystery-thriller', 'literature', 'fiction', 'adult-fiction', 'realistic-fiction', 'amazon', 'young-adult', 'childrens', 'relationships', 'coming-of-age'}"
the sea lions,"{'picture-books', 'animals', 'classics', 'fantasy', 'childrens', 'young-adult'}"
so runs the world,"{'literary-fiction', 'fiction', 'non-fiction'}"
old english plays,{'plays'}
marie antoinette,"{'romance', '21st-century', 'history', 'biography', 'feminism', 'fiction', 'historical-fiction', '20th-century', 'politics', 'memoir', 'adult', 'non-fiction', 'unfinished', 'historical'}"
johnny crows party,"{'picture-books', 'animals', 'fiction', 'childrens', 'poetry', 'humor'}"
the last of the foresters,"{'adventure', 'history', 'biography', 'fiction', 'historical-fiction', 'war', 'short-stories', 'non-fiction', 'historical'}"
fine feathers,"{'romance', 'historical-romance', 'historical'}"
friends in need,{'childrens'}
good intentions,"{'contemporary', 'romance', 'crime', 'roman', 'mystery', 'suspense', 'mystery-thriller', 'amazon', 'fiction', 'realistic-fiction', 'thriller'}"
fairy gold,"{'adventure', 'picture-books', 'classics', 'animals', 'travel', 'fantasy', 'fiction', 'childrens', 'essays', 'coming-of-age', 'humor'}"
watchdogs,"{'adventure', 'middle-grade', 'teen', 'non-fiction', 'science-fiction', 'fantasy', 'fiction', 'childrens', 'dystopia', 'young-adult', 'thriller'}"
