title,genres
sintram and his companions,"{'classics', 'fantasy', 'literature', 'historical-fiction', '20th-century', 'speculative-fiction', 'relationships'}"
appeal in favor of american africans,"{'classics', 'fiction', 'history', 'non-fiction'}"
the gay rebellion,"{'classics', 'science-fiction', 'fantasy', 'fiction', 'lgbt'}"
harpers young people dec  ,"{'short-stories', 'fiction', 'historical', 'non-fiction'}"
preliminary study of love,{'psychology'}
natuur en menschen in indi,{'literature'}
the two captains,"{'classics', 'short-stories', '20th-century'}"
avatras,"{'philosophy', 'adventure'}"
the countess of albany,{'biography'}
aslaugas knight,"{'romance', 'classics', 'fantasy', 'fiction', 'historical-fiction', 'short-stories', '20th-century'}"
the beauties of nature,"{'contemporary', 'education', 'picture-books', 'animals', 'classics', 'fantasy', 'fiction', 'childrens'}"
the end of the rainbow,"{'romance', 'historical-romance', 'fiction', 'historical-fiction', 'contemporary-romance', 'drama'}"
liberalism,"{'history', 'philosophy', 'fiction', 'politics', '20th-century', 'essays', 'non-fiction'}"
woher die kindlein kommen,{'roman'}
under the deodars,"{'romance', 'adventure', 'classics', 'fiction', 'historical-fiction', '20th-century'}"
cecilia valds o la loma del ngel,"{'romance', 'classics', 'novella', 'modern', 'novels', 'literature', 'fiction', 'historical-fiction', 'read-for-school', 'american'}"
mary queen of scots,"{'romance', 'history', 'biography', 'classics', 'historical-romance', 'fiction', 'historical-fiction', '20th-century', 'politics', 'non-fiction', 'unfinished', 'historical'}"
the evolution of modern capitalism,"{'history', 'economics'}"
lady of the lake,"{'romance', 'fantasy', 'fiction', 'dark', 'drama', 'new-adult'}"
ralph on the engine,"{'fiction', 'historical-fiction', 'childrens', 'history'}"
the tale of jolly robin,"{'education', 'classics', 'animals', 'literature', 'fiction', 'short-stories', 'childrens', 'school', 'non-fiction', 'read-for-school', 'humor'}"
cavalry in future wars,{'history'}
the orbis pictus,"{'picture-books', 'classics', 'psychology', 'literature', '20th-century', 'childrens', 'non-fiction', 'unfinished'}"
the reef,"{'romance', 'contemporary', 'adventure', 'crime', 'mystery', 'suspense', 'chick-lit', 'novels', 'mystery-thriller', 'fiction', 'romantic-suspense', 'adult-fiction', 'thriller', 'contemporary-romance', 'adult', 'non-fiction', 'drama'}"
harpers young people jan  ,"{'classics', 'fiction', 'historical', 'non-fiction'}"
the beloved woman,"{'romance', 'fiction', 'historical-romance'}"
a likely story,"{'contemporary', 'crime', 'christmas', 'mystery', 'fiction', 'comedy', 'unfinished', 'humor'}"
the christmas fairy,"{'childrens', 'picture-books', 'christmas', 'school'}"
a bundle of ballads,{'poetry'}
scenas da foz,"{'literature', 'romance'}"
the yellow fairy book,"{'speculative-fiction', 'classics', 'fantasy', 'mythology', 'literature', 'fiction', 'short-stories', 'amazon', 'childrens', 'young-adult', '20th-century', 'non-fiction', 'magic', 'theology'}"
one way out,"{'romance', 'contemporary', 'suspense', 'chick-lit', 'mystery-thriller', 'travel', 'fiction', 'romantic-suspense', 'contemporary-romance'}"
life in a tank,"{'history', 'biography', 'classics', 'fiction', 'memoir', 'non-fiction'}"
myth ritual and religion vol ,"{'classics', 'religion', 'reference', 'mythology', 'amazon', 'fiction', 'non-fiction'}"
the portrait of a lady,"{'romance', 'literary-fiction', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult-fiction', 'adult', 'school', 'unfinished', 'american', 'historical', 'college'}"
education ,"{'romance', 'literary-fiction', 'contemporary', 'roman', 'classics', 'modern', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'unfinished', 'historical'}"
messengers of evil,"{'romance', 'crime', 'horror', 'mystery', 'classics', 'science-fiction', 'fantasy', 'novels', 'amazon', 'fiction', 'mystery-thriller', '20th-century', 'historical-fiction'}"
the education of children,"{'education', 'psychology', 'philosophy', 'science', 'childrens', 'school', 'non-fiction'}"
on calvinism,{'classics'}
birdseye views of far lands,{'fiction'}
somehow good,"{'classics', 'novels', 'fiction', 'historical-fiction', 'non-fiction'}"
deathworld,"{'romance', 'adventure', 'mystery', 'classics', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', 'historical-fiction', 'war', 'science', 'speculative-fiction'}"
the golden house,"{'contemporary', 'literary-fiction', 'family', 'novels', 'literature', 'fiction', 'adult-fiction', 'historical-fiction', 'politics', 'adult', 'non-fiction', 'unfinished', 'american'}"
lives of the presidents,"{'politics', 'history', 'biography', 'non-fiction'}"
the childrens longfellow,"{'romance', 'adventure', 'classics', 'fiction', 'historical-fiction', 'childrens', 'school', 'poetry', 'american'}"
the ranch at the wolverine,"{'romance', 'adventure', 'fiction'}"
applied psychology,"{'fiction', 'psychology'}"
rambles beyond railways,"{'history', 'biography', 'mystery', 'classics', 'travel', 'fiction', 'short-stories', '20th-century', 'essays', 'memoir', 'non-fiction', 'historical'}"
la sorella,"{'contemporary', 'classics', 'novella', 'novels', 'literature', 'music'}"
mmoires dune contemporaine ,"{'romance', 'history', 'biography', 'politics', '20th-century'}"
tra cielo e terra,"{'romance', 'adventure', 'literary-fiction', 'history', 'biography', 'travel', 'historical-fiction', 'non-fiction', 'historical', 'contemporary', 'novels', 'literature', 'fiction', '20th-century', 'adult', 'unfinished', 'adult-fiction', 'relationships', 'drama'}"
the wide wide world,"{'literary-fiction', 'christian', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'childrens', 'young-adult', 'school', 'read-for-school', 'american', 'historical'}"
ben the luggage boy,"{'fiction', 'american', '20th-century'}"
as i remember,"{'biography', 'non-fiction'}"
the hunter cats of connorloa,"{'fiction', 'history'}"
goatfeathers,"{'comedy', 'essays', 'humor'}"
movement of the,"{'romance', 'literary-fiction', 'history', 'feminism', 'non-fiction', 'historical-romance', 'fiction', 'historical-fiction', '20th-century', 'science', 'adult-fiction', 'adult', 'young-adult', 'drama', 'historical'}"
house of mirth,"{'romance', 'literary-fiction', 'drama', 'feminism', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult-fiction', 'adult', 'school', 'read-for-school', 'american', 'historical', 'college'}"
racconti umoristici,"{'adventure', 'classics', 'sports', 'fiction', 'short-stories', 'humor'}"
comedias,"{'contemporary', 'literary-fiction', 'crime', 'history', 'roman', 'mystery', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', 'war', 'thriller', '20th-century', 'adult', 'drama'}"
history plays,{'plays'}
the black buccaneer,"{'fiction', 'history'}"
twentyfive cent dinners,"{'history', 'cookbooks', 'sports', 'fiction', 'non-fiction', 'economics', 'historical'}"
black heart and white heart,"{'romance', 'adventure', 'classics', 'fiction', 'short-stories', '20th-century', 'historical-fiction'}"
tales from scottish ballads,{'classics'}
the cave twins,"{'fiction', 'historical-fiction', 'childrens'}"
the italian twins,{'childrens'}
little travels,"{'history', 'biography', 'classics', 'travel', 'fiction', 'essays', 'memoir'}"
the irish twins,"{'historical-fiction', 'childrens'}"
home life in germany,"{'adult-fiction', 'history'}"
astronomy,"{'education', 'history', 'reference', 'amazon', 'fiction', 'science', 'non-fiction', 'read-for-school', 'college'}"
a handbook of the english language,{'classics'}
its a small solar system,"{'science-fiction', 'short-stories', 'fiction', '20th-century', 'humor'}"
the helpful robots,"{'short-stories', 'science-fiction', 'travel', 'humor'}"
the comings of cousin ann,"{'classics', 'novels', 'fiction', 'historical-fiction', 'young-adult', 'american'}"
the fatal boots,"{'classics', 'short-stories', 'fiction'}"
the dark star,"{'romance', 'contemporary', 'science-fiction', 'high-school', 'paranormal', 'fantasy', 'fiction', 'young-adult', 'dystopia', 'magic', 'supernatural', 'new-adult', 'urban-fantasy', 'paranormal-romance'}"
a modern cinderella,"{'romance', 'middle-grade', 'history', 'classics', 'short-stories', 'fiction', '20th-century', 'childrens', 'american', 'historical'}"
the readjustment,"{'short-stories', 'horror', 'fantasy'}"
madame roland makers of history,"{'literary-fiction', 'history', 'biography', 'fiction', 'historical-fiction', '20th-century', 'school', 'historical'}"
the campfire girls of roselawn,"{'classics', 'fiction', 'mystery'}"
sir nigel,"{'romance', 'adventure', 'history', 'mystery', 'classics', 'fantasy', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'war', 'comedy', 'school', 'travel', 'historical'}"
i like martian music,"{'science-fiction', 'fantasy', 'short-stories', 'fiction', '20th-century', 'music', 'humor'}"
flight through tomorrow,"{'short-stories', 'science-fiction', 'fantasy'}"
golden stars in tatting,"{'education', 'reference', 'non-fiction'}"
what a young woman ought to know,"{'history', 'feminism', 'fiction', 'non-fiction', 'coming-of-age', 'historical'}"
in brief authority,"{'classics', 'speculative-fiction'}"
the life of flavius josephus,"{'christian', 'history', 'biography', 'picture-books', 'roman', 'classics', 'religion', 'reference', 'fiction', 'short-stories', 'historical-fiction', 'science', 'non-fiction', 'theology', 'historical'}"
boldens pets,"{'short-stories', '20th-century', 'science-fiction', 'fiction'}"
the combined maze,"{'literary-fiction', 'classics', 'fiction', '20th-century', 'non-fiction'}"
not like other girls,"{'romance', 'short-stories', 'christian', 'fiction'}"
epistle sermons vol ii,"{'christian', 'history', 'classics', 'religion', 'reference', 'fiction', 'essays', 'non-fiction', 'theology'}"
the limit,"{'romance', 'contemporary', 'erotica', 'novels', 'love', 'contemporary-romance', 'adult', 'drama', 'new-adult', 'college'}"
samantha at coney island,{'humor'}
don quichot van la mancha,"{'adventure', 'literary-fiction', 'history', 'classics', 'novella', 'fantasy', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'comedy', 'read-for-school', 'school', 'adult', 'unfinished', 'historical', 'humor'}"
discourse to the greeks,"{'christian', 'history', 'sociology', 'religion', 'psychology', 'philosophy', 'non-fiction', 'theology'}"
the antiquities of the jews,"{'education', 'christian', 'history', 'roman', 'classics', 'religion', 'reference', 'mythology', 'philosophy', 'fiction', 'non-fiction', 'unfinished', 'historical'}"
the frontier,"{'contemporary', 'literary-fiction', 'adventure', '21st-century', 'roman', 'family', 'travel', 'novels', 'literature', 'fiction', 'adult-fiction', 'realistic-fiction', 'adult', 'non-fiction', 'unfinished', 'american'}"
company f,"{'romance', 'adventure', 'crime', 'erotica', 'mystery', 'action', 'suspense', 'science-fiction', 'fantasy', 'fiction', 'war', 'thriller', 'dystopia', 'adult', 'non-fiction', 'new-adult', 'dark', 'lgbt'}"
sawtooth ranch,{'romance'}
legends of vancouver,"{'literary-fiction', 'history', 'classics', 'fantasy', 'mythology', 'literature', 'short-stories', 'fiction', '20th-century', 'historical-fiction', 'non-fiction', 'historical'}"
voyage autour du monde ,"{'romance', 'history', 'biography', 'classics', 'science-fiction', 'travel', 'non-fiction', 'read-for-school'}"
the belovd vagabond,"{'romance', 'classics', 'novels', 'fiction', 'historical-fiction', 'humor'}"
against apion,"{'history', 'biography', 'roman', 'classics', 'religion', 'reference', 'philosophy', 'adult-fiction', 'memoir', 'historical'}"
official handbook of girl scouts,"{'education', 'history', 'classics', 'reference', 'fiction', 'childrens', 'non-fiction', 'historical'}"
the light of the star,"{'classics', 'novels'}"
introduction to sociology,"{'education', 'sociology', 'reference', 'psychology', 'fiction', 'science', 'non-fiction', 'read-for-school', 'college'}"
mother earth,"{'literary-fiction', 'science-fiction', 'fantasy', 'literature', 'fiction', 'unfinished'}"
all about coffee,"{'history', 'mystery', 'cookbooks', 'reference', 'fiction', 'non-fiction'}"
construction work,{'picture-books'}
the mind of jesus,"{'christian', 'history', 'biography', 'religion', 'fiction', 'non-fiction', 'theology', 'spirituality'}"
the brass bound box,"{'historical-fiction', 'high-school'}"
the wonders of the invisible world,"{'literary-fiction', 'short-stories', 'fiction', 'non-fiction', 'unfinished', 'american'}"
the prairie child,{'historical-fiction'}
the saracen land of the infidel,"{'history', 'mystery', 'fantasy', 'novels', 'fiction', 'historical-fiction', 'war', '20th-century', 'non-fiction', 'historical'}"
the saracen the holy war,"{'history', 'mystery', 'fantasy', 'novels', 'fiction', 'historical-fiction', 'war', '20th-century', 'non-fiction', 'historical'}"
mex,"{'romance', 'contemporary', 'horror', 'mystery', 'suspense', 'fantasy', 'mystery-thriller', 'paranormal', 'fiction', 'historical-fiction', 'adult-fiction', 'thriller', 'novels', 'adult', 'american', 'supernatural', 'historical', 'dark'}"
lexilee,"{'romance', 'roman', 'classics'}"
the hound of the baskervilles,"{'literary-fiction', 'crime', 'mystery', 'classics', 'comics', 'mystery-thriller', 'novels', 'literature', 'graphic-novels', 'fiction', 'historical-fiction', 'young-adult', 'manga', 'college'}"
forbidden fruit,"{'romance', 'crime', 'mystery', 'suspense', 'mystery-thriller', 'novels', 'fiction', 'romantic-suspense', 'thriller', 'adult'}"
nobody,"{'romance', 'adventure', 'teen', 'suspense', 'dystopia', 'non-fiction', 'contemporary', 'mystery', 'fantasy', 'mystery-thriller', 'novels', 'fiction', 'unfinished', 'paranormal', 'adult-fiction', 'young-adult', 'urban-fantasy', 'action', 'science-fiction', 'thriller', 'drama', 'supernatural', 'paranormal-romance'}"
quo vadis,"{'romance', 'adventure', 'christian', 'literary-fiction', 'history', 'roman', 'classics', 'religion', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'school', 'read-for-school', 'historical'}"
out of this world convention,"{'short-stories', 'science-fiction'}"
soldier stories,"{'literary-fiction', 'history', 'biography', 'classics', 'fiction', 'war', '20th-century', 'memoir', 'non-fiction', 'historical'}"
sir francis drake revived,"{'fiction', 'historical', 'biography', 'non-fiction'}"
rex ex machina,"{'short-stories', 'science-fiction', 'fiction'}"
say and seal volume i,"{'classics', 'christian'}"
say and seal volume ii,{'classics'}
the words of jesus,"{'christian', 'picture-books', 'religion', '20th-century', 'non-fiction', 'spirituality'}"
elissa,"{'romance', 'fantasy', 'novels', 'fiction', 'young-adult', 'new-adult'}"
song in a minor key,"{'classics', 'science-fiction', 'short-stories', 'fiction', 'speculative-fiction'}"
how it works,"{'art', 'fiction', 'comedy', 'short-stories', 'graphic-novels', 'non-fiction', 'humor'}"
beyond lies the wub,"{'horror', 'classics', 'animals', 'science-fiction', 'fantasy', 'sports', 'philosophy', 'short-stories', 'fiction', '20th-century', 'amazon', 'paranormal', 'speculative-fiction', 'american', 'lgbt', 'humor'}"
virginia company of london,{'history'}
history of woman suffrage,"{'history', 'feminism', 'biography', 'classics', 'fiction', 'politics', '20th-century', 'essays', 'memoir', 'thriller', 'non-fiction', 'american'}"
the panjandrum picture book,"{'literature', 'childrens', 'classics'}"
moon of israel,"{'romance', 'adventure', 'drama', 'mystery', 'classics', 'fantasy', 'novels', 'fiction', 'historical-fiction', 'thriller', 'unfinished', 'historical'}"
een kerstlied in proza,"{'literary-fiction', 'novella', 'historical-fiction', 'historical', 'fantasy', 'novels', 'literature', 'fiction', '20th-century', 'childrens', 'school', 'adult', 'read-for-school', 'christmas', 'classics', 'paranormal', 'short-stories', 'adult-fiction', 'young-adult'}"
wild life on the rockies,"{'fiction', 'essays', 'science', 'biography'}"
good luck,"{'romance', 'contemporary', 'cookbooks', 'chick-lit', 'novels', 'fiction', 'adult', 'non-fiction', 'unfinished'}"
hollyhock,"{'middle-grade', 'picture-books', 'childrens', 'american', 'art'}"
loiseau,"{'contemporary', 'literary-fiction', 'romance', 'animals', 'classics', 'novella', 'fantasy', 'novels', 'literature', 'short-stories', 'fiction', '20th-century', 'adult-fiction', 'historical-fiction', 'comedy', 'unfinished', 'american', 'humor'}"
makers of many things,{'non-fiction'}
the homesteaders,"{'adventure', 'suspense', 'action', 'fiction', 'dystopia', 'adult'}"
cressy,"{'science-fiction', 'fantasy', 'novels', 'short-stories', 'fiction', 'unfinished', 'theology'}"
grieksche volk,{'history'}
de economische toestand der vrouw,"{'contemporary', 'history', 'feminism', 'sociology', 'non-fiction', 'classics', 'literature', 'fiction', 'unfinished', '20th-century', 'economics', 'read-for-school', 'historical', 'college'}"
the calm man,"{'horror', 'science-fiction', 'novels', 'short-stories', 'fiction', '20th-century', 'relationships'}"
o inferno,"{'religion', 'spirituality', 'non-fiction'}"
with hoops of steel,"{'fiction', 'mystery'}"
kertomuksia historiasta,"{'history', 'sociology', 'fiction', 'historical-fiction', 'politics', 'non-fiction', 'lgbt'}"
frances kanes fortune,"{'romance', 'fiction', 'classics'}"
a little dinner at timminss,"{'classics', 'short-stories', 'historical-fiction', '20th-century', 'fiction'}"
the dust flower,"{'classics', 'humor', 'mystery'}"
when dreams come true,"{'romance', 'historical-romance', 'fiction', 'historical-fiction', 'adult', 'historical'}"
the man who drove the car,{'classics'}
ceci nest pas un conte,"{'romance', 'classics', 'philosophy', 'short-stories', 'literature', 'fiction', '20th-century', 'non-fiction'}"
les deux amis de bourbonne,"{'philosophy', '20th-century'}"
the sleuth of st jamess square,"{'crime', 'horror', 'christmas', 'mystery', 'classics', 'suspense', 'novels', 'short-stories', 'fiction', '20th-century'}"
singoalla,"{'romance', 'adventure', 'classics', 'high-school', 'fantasy', 'fiction', 'historical-fiction', '20th-century', 'school', 'adult', 'read-for-school', 'historical'}"
the flaw in the crystal,"{'classics', 'novella', 'short-stories', 'fiction', 'adult-fiction', '20th-century', 'supernatural'}"
penshurst castle,"{'classics', 'non-fiction'}"
the cuckoo clock,"{'contemporary', 'fiction', 'mystery'}"
the twins of table mountain,{'classics'}
metamorphoses,"{'history', 'mythology', 'historical-fiction', 'non-fiction', 'historical', 'college', 'roman', 'fantasy', 'literature', 'fiction', 'philosophy', 'school', 'adult', 'unfinished', 'read-for-school', 'classics', 'religion', 'short-stories', 'poetry'}"
devil crystals of arret,"{'short-stories', 'adventure', 'science-fiction'}"
paul jones,"{'history', 'biography', 'historical-fiction', 'war', 'young-adult', 'school', 'non-fiction', 'adult', 'american', 'historical'}"
the grey woman and other tales,"{'horror', 'classics', 'short-stories', 'historical-fiction', '20th-century', 'fiction', 'theology', 'historical'}"
the marriage of elinor,"{'romance', 'classics', 'historical-fiction', '20th-century', 'historical'}"
belly laugh,"{'classics', 'science-fiction', 'fiction', 'short-stories', 'war', '20th-century', 'humor'}"
beyond the door,"{'horror', 'mystery', 'classics', 'science-fiction', 'fantasy', 'sports', 'amazon', 'short-stories', 'fiction', '20th-century', 'paranormal', 'novels', 'speculative-fiction', 'read-for-school'}"
lost in the future,"{'short-stories', 'science-fiction'}"
solar stiff,"{'short-stories', 'science-fiction', 'fiction'}"
texas week,"{'short-stories', 'science-fiction', 'fiction'}"
otto of the silver hand,"{'adventure', 'middle-grade', 'history', 'drama', 'classics', 'fantasy', 'literature', 'fiction', 'historical-fiction', '20th-century', 'childrens', 'young-adult', 'school', 'read-for-school', 'american', 'historical'}"
year of the big thaw,"{'science-fiction', 'fantasy', 'novels', 'amazon', 'short-stories', 'fiction', 'american', 'humor'}"
our bessie,"{'historical-fiction', '20th-century', 'young-adult'}"
bobby of cloverfield farm,{'childrens'}
a winter amid the ice,"{'adventure', 'literary-fiction', 'classics', 'novella', 'science-fiction', 'fantasy', 'novels', 'literature', 'short-stories', 'fiction', '20th-century'}"
windsor castle,"{'horror', 'history', 'classics', 'literature', 'fiction', 'historical-fiction', '20th-century'}"
paul ja virginia,"{'romance', 'roman', 'classics', 'novels', 'literature', 'fiction', 'graphic-novels', '20th-century', 'historical-fiction', 'philosophy', 'unfinished'}"
the ranger,"{'adventure', 'crime', 'mystery', 'suspense', 'action', 'mystery-thriller', 'fiction', 'adult-fiction', 'thriller', 'adult', 'american'}"
sea garden,"{'feminism', 'classics', 'modern', 'fiction', '20th-century', 'school', 'poetry', 'american'}"
hymen,"{'feminism', 'classics', 'modern', '20th-century', 'poetry', 'american', 'lgbt'}"
genghis khan makers of history,"{'literary-fiction', 'history', 'biography', 'classics', 'animals', 'fiction', 'historical-fiction', '20th-century', 'war', 'non-fiction', 'historical'}"
a sappho of green springs,{'20th-century'}
red men and white,"{'literary-fiction', 'classics', 'action', 'short-stories', 'historical-fiction', 'fiction', 'adult'}"
forgotten tales of long ago,"{'classics', 'short-stories', 'historical-fiction', 'fiction', 'childrens'}"
the green mummy,"{'mystery', 'classics', 'mystery-thriller', 'novels', 'fantasy', 'fiction', 'graphic-novels', '20th-century', 'historical'}"
minnies pet cat,"{'animals', 'short-stories'}"
tales of the fish patrol,"{'romance', 'adventure', 'biography', 'classics', 'literature', 'fiction', 'short-stories', '20th-century', 'childrens', 'young-adult', 'unfinished', 'american'}"
symbolic logic,"{'education', 'reference', 'philosophy', 'fiction', 'non-fiction'}"
down the slope,"{'amazon', 'short-stories'}"
the crystal crypt,"{'adventure', 'classics', 'suspense', 'novella', 'science-fiction', 'fantasy', 'sports', 'amazon', 'short-stories', 'fiction', '20th-century', 'science', 'adult', 'speculative-fiction'}"
historic ghosts and ghost hunters,"{'history', 'mystery-thriller', 'paranormal', 'short-stories', 'non-fiction', 'spirituality', 'historical'}"
remember the alamo,"{'fiction', 'science-fiction', 'history'}"
robin hood,"{'romance', 'adventure', 'history', 'classics', 'fantasy', 'mythology', 'literature', 'fiction', 'historical-fiction', '20th-century', 'childrens', 'young-adult', 'novels', 'adult-fiction', 'historical'}"
stories of ww jacobs,"{'horror', 'mystery', 'suspense', 'fantasy', 'short-stories'}"
free ships american carrying trade,"{'classics', 'fiction'}"
the god in the box,"{'short-stories', 'science-fiction'}"
practical education volume i,"{'classics', 'fiction'}"
practical education volume ii,{'classics'}
wee wifie,"{'fiction', '20th-century'}"
les crimes de lamour,"{'romance', 'erotica', 'classics', 'bdsm', 'novella', 'novels', 'literature', 'fiction', 'short-stories', 'philosophy', '20th-century', 'love', 'adult', 'non-fiction', 'unfinished', 'theology'}"
in the high valley,"{'romance', 'adventure', 'literary-fiction', 'classics', 'fiction', 'historical-fiction', '20th-century', 'childrens', 'young-adult', 'american', 'historical'}"
hardings luck,"{'literary-fiction', 'middle-grade', 'picture-books', 'classics', 'reference', 'fantasy', 'fiction', '20th-century', 'childrens', 'young-adult', 'school', 'speculative-fiction', 'historical'}"
the boy scouts book of stories,"{'classics', 'short-stories', 'fiction', 'childrens', 'young-adult', 'american'}"
a boys town,"{'classics', 'novels', 'literature', 'fiction', 'young-adult', 'memoir', 'american'}"
travels in china,"{'biography', 'travel', 'literature', 'philosophy', 'politics', '20th-century', 'fiction', 'memoir', 'non-fiction'}"
recollections of joan of arc,"{'middle-grade', 'christian', 'history', 'biography', 'classics', 'religion', 'comics', 'fiction', 'historical-fiction', 'graphic-novels', 'war', 'adult', 'non-fiction', 'historical', 'humor'}"
the girls of central high in camp,"{'short-stories', 'childrens', 'fiction'}"
miss ashtons new pupil,"{'christian', 'classics', 'short-stories', 'fiction', 'young-adult'}"
ballads of robin hood series ,"{'adventure', 'classics', 'amazon', 'short-stories', 'poetry', 'historical'}"
the madcap of the school,"{'contemporary', 'adventure', 'mystery', 'classics', 'short-stories', 'childrens', 'school'}"
joan of arc vol ,"{'romance', 'literary-fiction', 'education', 'history', 'biography', 'classics', 'novels', 'fiction', 'historical-fiction', 'school', 'historical'}"
the light that failed,"{'romance', 'classics', 'novella', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult-fiction'}"
elements of gaelic grammar,"{'history', 'writing', 'classics', 'reference', 'non-fiction', 'historical'}"
the defenders,"{'roman', 'science-fiction', 'fantasy', 'novels', 'short-stories', 'fiction', 'graphic-novels', 'science', 'speculative-fiction', 'theology'}"
peter the brazen,"{'fiction', 'novels'}"
histoire amoureuse des gaules ,"{'romance', 'history', 'classics', 'science-fiction', 'fiction'}"
the certain hour,"{'fiction', 'sports', 'fantasy', 'speculative-fiction'}"
a blot in the scutcheon,"{'classics', 'fiction', 'plays', 'drama'}"
the works of mark twain,"{'literary-fiction', 'history', 'classics', 'literature', 'fiction', 'american'}"
oswald bastable and others,"{'romance', 'adventure', 'middle-grade', 'picture-books', 'classics', 'fantasy', 'short-stories', 'fiction', 'historical-fiction', 'childrens', 'historical', 'humor'}"
every girls book,"{'classics', 'fiction', 'young-adult', 'non-fiction', 'american'}"
the electronic mind reader,"{'fiction', 'adventure', 'science-fiction', 'young-adult'}"
the school queens,"{'short-stories', 'fiction'}"
counsel for the defense,"{'crime', 'plays', 'mystery'}"
the works of winston churchill,"{'adventure', 'history', 'biography', 'classics', 'reference', 'philosophy', 'fiction', 'comedy', 'literature', 'politics', 'memoir'}"
la religieuse,"{'romance', 'literary-fiction', 'history', 'roman', 'classics', 'religion', 'novels', 'philosophy', 'fiction', 'literature', '20th-century', 'historical-fiction', 'school', 'drama', 'college', 'lgbt'}"
the gold bag,"{'adventure', 'literary-fiction', 'crime', 'mystery', 'suspense', 'action', 'mystery-thriller', 'novels', 'fiction', 'historical-fiction', 'thriller'}"
the sargasso of space,"{'suspense', 'science-fiction', 'fantasy', 'short-stories', 'fiction', '20th-century'}"
the masonbees,"{'unfinished', 'science', 'school'}"
max and maurice,"{'picture-books', 'classics', 'comics', 'literature', 'fiction', 'graphic-novels', '20th-century', 'childrens', 'comedy', 'school', 'poetry', 'humor'}"
the childrens book of stars,"{'classics', 'childrens', 'science'}"
the leader of the lower school,"{'contemporary', 'classics', 'novels', 'short-stories', 'fiction', 'childrens', 'school'}"
donald and dorothy,{'childrens'}
captain bayleys heir,"{'romance', 'adventure', 'history', 'classics', 'high-school', 'novels', 'literature', 'fiction', 'historical-fiction', 'young-adult'}"
the heptameron,"{'romance', 'literary-fiction', 'middle-grade', 'history', 'erotica', 'classics', 'literature', 'fiction', 'short-stories', '20th-century', 'historical-fiction', 'school', 'adult', 'theology', 'historical', 'college'}"
the life of george washington,"{'history', 'biography'}"
tales of the argonauts,"{'fiction', '20th-century', 'history'}"
the papers of thomas jefferson,"{'history', 'non-fiction'}"
der dichter und das phantasieren,"{'writing', 'classics', 'psychology', 'philosophy', 'fiction', 'essays', 'non-fiction', 'read-for-school', 'art'}"
der judenstaat,"{'history', 'religion', 'historical-romance', 'reference', 'philosophy', 'fiction', 'politics', '20th-century', 'essays', 'war', 'non-fiction', 'read-for-school', 'economics', 'historical'}"
racconti fantastici,"{'horror', 'mystery', 'classics', 'suspense', 'fantasy', 'novels', 'literature', 'fiction', 'short-stories', 'school', 'non-fiction'}"
willem de zwijger prins van oranje,"{'history', 'historical'}"
egypt and others,"{'literature', 'horror', 'supernatural', 'fiction'}"
a history of france,"{'romance', 'history', 'travel', 'amazon', 'fiction', 'historical-fiction', 'politics', 'science', 'non-fiction', 'historical'}"
the copperclad world,"{'adventure', 'classics', 'suspense', 'science-fiction', 'short-stories'}"
a history of england,"{'21st-century', 'history', 'reference', 'fiction', 'historical-fiction', 'politics', 'adult', 'non-fiction', 'unfinished', 'school', 'historical', 'college'}"
the mexican twins,"{'unfinished', 'american', 'childrens', 'biography'}"
benefactor,"{'drama', 'fiction', 'plays', 'memoir'}"
of time and texas,"{'short-stories', 'science-fiction'}"
two plus two makes crazy,"{'short-stories', 'fiction', 'science-fiction'}"
historical novels,"{'21st-century', 'history', 'mystery', 'action', 'science-fiction', 'fiction', 'historical-fiction', '20th-century', 'thriller', 'adult', 'non-fiction'}"
english synonyms and antonyms,"{'reference', 'non-fiction'}"
all that matters,"{'romance', 'contemporary', 'erotica', 'family', 'fiction', 'adult-fiction', 'contemporary-romance', 'adult', 'drama', 'lgbt'}"
irish fairy tales,"{'middle-grade', 'history', 'classics', 'science-fiction', 'reference', 'fantasy', 'literature', 'short-stories', 'fiction', 'non-fiction'}"
essay on true and apparent beauty,{'romance'}
compatible,"{'romance', 'erotica', 'novella', 'science-fiction', 'fantasy', 'paranormal', 'short-stories'}"
collectors item,"{'fantasy', 'fiction', 'contemporary-romance', 'non-fiction', 'paranormal-romance'}"
la bodega,"{'literary-fiction', 'history', 'drama', 'roman', 'novella', 'historical-romance', 'novels', 'fiction', 'historical-fiction', 'unfinished', 'historical'}"
el criterio,{'philosophy'}
